xmlns:xsi	Text
http://www.w3.org/2001/XMLSchema-instance	Malita
http://www.w3.org/2001/XMLSchema-instance	Negombo
http://www.w3.org/2001/XMLSchema-instance	Amman
http://www.w3.org/2001/XMLSchema-instance	Tiaret
http://www.w3.org/2001/XMLSchema-instance	Habra
http://www.w3.org/2001/XMLSchema-instance	Subotica
http://www.w3.org/2001/XMLSchema-instance	Beau Bassin-Rose Hill
http://www.w3.org/2001/XMLSchema-instance	Gatineau
http://www.w3.org/2001/XMLSchema-instance	Basildon
http://www.w3.org/2001/XMLSchema-instance	Birmingham
http://www.w3.org/2001/XMLSchema-instance	B�rum
http://www.w3.org/2001/XMLSchema-instance	Daska
http://www.w3.org/2001/XMLSchema-instance	Kitakyushu
http://www.w3.org/2001/XMLSchema-instance	Coquitlam
http://www.w3.org/2001/XMLSchema-instance	Tete
http://www.w3.org/2001/XMLSchema-instance	Novara
http://www.w3.org/2001/XMLSchema-instance	Zhucheng
http://www.w3.org/2001/XMLSchema-instance	Jalib al-Shuyukh
http://www.w3.org/2001/XMLSchema-instance	Dumaguete
http://www.w3.org/2001/XMLSchema-instance	Ceyhan
http://www.w3.org/2001/XMLSchema-instance	Arusha
http://www.w3.org/2001/XMLSchema-instance	Rishra
http://www.w3.org/2001/XMLSchema-instance	Aksaray
http://www.w3.org/2001/XMLSchema-instance	Guangshui
http://www.w3.org/2001/XMLSchema-instance	Schwerin
http://www.w3.org/2001/XMLSchema-instance	Tajimi
http://www.w3.org/2001/XMLSchema-instance	Namwon
http://www.w3.org/2001/XMLSchema-instance	Sekondi-Takoradi
http://www.w3.org/2001/XMLSchema-instance	R�o Bravo
http://www.w3.org/2001/XMLSchema-instance	Jilin
http://www.w3.org/2001/XMLSchema-instance	Hildesheim
http://www.w3.org/2001/XMLSchema-instance	Ume�
http://www.w3.org/2001/XMLSchema-instance	Shishou
http://www.w3.org/2001/XMLSchema-instance	Gandhidham
http://www.w3.org/2001/XMLSchema-instance	Trento
http://www.w3.org/2001/XMLSchema-instance	Jenakijeve
http://www.w3.org/2001/XMLSchema-instance	Suqian
http://www.w3.org/2001/XMLSchema-instance	Siem Reap
http://www.w3.org/2001/XMLSchema-instance	Sz�kesfeh�rv�r
http://www.w3.org/2001/XMLSchema-instance	Ust-Ilimsk
http://www.w3.org/2001/XMLSchema-instance	Kecskem�t
http://www.w3.org/2001/XMLSchema-instance	Sarapul
http://www.w3.org/2001/XMLSchema-instance	Calapan
http://www.w3.org/2001/XMLSchema-instance	Cheltenham
http://www.w3.org/2001/XMLSchema-instance	Bergisch Gladbach
http://www.w3.org/2001/XMLSchema-instance	Rouen
http://www.w3.org/2001/XMLSchema-instance	Cabuyao
http://www.w3.org/2001/XMLSchema-instance	Akishima
http://www.w3.org/2001/XMLSchema-instance	Manchester
http://www.w3.org/2001/XMLSchema-instance	Siirt
http://www.w3.org/2001/XMLSchema-instance	Calabozo
http://www.w3.org/2001/XMLSchema-instance	Varamin
http://www.w3.org/2001/XMLSchema-instance	Waterbury
http://www.w3.org/2001/XMLSchema-instance	Downey
http://www.w3.org/2001/XMLSchema-instance	Barasat
http://www.w3.org/2001/XMLSchema-instance	Unnao
http://www.w3.org/2001/XMLSchema-instance	Forl�
http://www.w3.org/2001/XMLSchema-instance	Lashio (Lasho)
http://www.w3.org/2001/XMLSchema-instance	Pak Pattan
http://www.w3.org/2001/XMLSchema-instance	Koblenz
http://www.w3.org/2001/XMLSchema-instance	San Jose
http://www.w3.org/2001/XMLSchema-instance	Hualien
http://www.w3.org/2001/XMLSchema-instance	Teixeira de Freitas
http://www.w3.org/2001/XMLSchema-instance	San Francisco de Macor�s
http://www.w3.org/2001/XMLSchema-instance	Liling
http://www.w3.org/2001/XMLSchema-instance	West Valley City
http://www.w3.org/2001/XMLSchema-instance	Brahmanbaria
http://www.w3.org/2001/XMLSchema-instance	Ourense (Orense)
http://www.w3.org/2001/XMLSchema-instance	Reykjav�k
http://www.w3.org/2001/XMLSchema-instance	Lauro de Freitas
http://www.w3.org/2001/XMLSchema-instance	Legnica
http://www.w3.org/2001/XMLSchema-instance	Termiz
http://www.w3.org/2001/XMLSchema-instance	Bahawalnagar
http://www.w3.org/2001/XMLSchema-instance	Perth
http://www.w3.org/2001/XMLSchema-instance	Beirut
http://www.w3.org/2001/XMLSchema-instance	Zixing
http://www.w3.org/2001/XMLSchema-instance	Zoetermeer
http://www.w3.org/2001/XMLSchema-instance	Dnipropetrovsk
http://www.w3.org/2001/XMLSchema-instance	Ozamis
http://www.w3.org/2001/XMLSchema-instance	Girardot
http://www.w3.org/2001/XMLSchema-instance	Koganei
http://www.w3.org/2001/XMLSchema-instance	Ciparay
http://www.w3.org/2001/XMLSchema-instance	Higashikurume
http://www.w3.org/2001/XMLSchema-instance	Slough
http://www.w3.org/2001/XMLSchema-instance	Abha
http://www.w3.org/2001/XMLSchema-instance	Nador
http://www.w3.org/2001/XMLSchema-instance	El Mante
http://www.w3.org/2001/XMLSchema-instance	Nkongsamba
http://www.w3.org/2001/XMLSchema-instance	Xuangzhou
http://www.w3.org/2001/XMLSchema-instance	Peoria
http://www.w3.org/2001/XMLSchema-instance	Tarragona
http://www.w3.org/2001/XMLSchema-instance	Barbacena
http://www.w3.org/2001/XMLSchema-instance	Sachon
http://www.w3.org/2001/XMLSchema-instance	Jabaliya
http://www.w3.org/2001/XMLSchema-instance	Ipswich
http://www.w3.org/2001/XMLSchema-instance	Phan Thi�t
http://www.w3.org/2001/XMLSchema-instance	Lausanne
http://www.w3.org/2001/XMLSchema-instance	Garanhuns
http://www.w3.org/2001/XMLSchema-instance	Gera
http://www.w3.org/2001/XMLSchema-instance	Silchar
http://www.w3.org/2001/XMLSchema-instance	North Las Vegas
http://www.w3.org/2001/XMLSchema-instance	Ebina
http://www.w3.org/2001/XMLSchema-instance	Toyokawa
http://www.w3.org/2001/XMLSchema-instance	El Tigre
http://www.w3.org/2001/XMLSchema-instance	Richmond Hill
http://www.w3.org/2001/XMLSchema-instance	Offenbach am Main
http://www.w3.org/2001/XMLSchema-instance	Masjed-e-Soleyman
http://www.w3.org/2001/XMLSchema-instance	Bragan�a Paulista
http://www.w3.org/2001/XMLSchema-instance	Leiden
http://www.w3.org/2001/XMLSchema-instance	San Juan del Monte
http://www.w3.org/2001/XMLSchema-instance	Morogoro
http://www.w3.org/2001/XMLSchema-instance	San Carlos
http://www.w3.org/2001/XMLSchema-instance	Kuytun
http://www.w3.org/2001/XMLSchema-instance	Fort Collins
http://www.w3.org/2001/XMLSchema-instance	Hofu
http://www.w3.org/2001/XMLSchema-instance	Mart�nez de la Torre
http://www.w3.org/2001/XMLSchema-instance	Imabari
http://www.w3.org/2001/XMLSchema-instance	Hebron
http://www.w3.org/2001/XMLSchema-instance	Munich [M�nchen]
http://www.w3.org/2001/XMLSchema-instance	R�mnicu V�lcea
http://www.w3.org/2001/XMLSchema-instance	Dordrecht
http://www.w3.org/2001/XMLSchema-instance	Nandyal
http://www.w3.org/2001/XMLSchema-instance	Tangerang
http://www.w3.org/2001/XMLSchema-instance	Manzhouli
http://www.w3.org/2001/XMLSchema-instance	Heyuan
http://www.w3.org/2001/XMLSchema-instance	Sapucaia do Sul
http://www.w3.org/2001/XMLSchema-instance	Randfontein
http://www.w3.org/2001/XMLSchema-instance	Bhimavaram
http://www.w3.org/2001/XMLSchema-instance	Kawasaki
http://www.w3.org/2001/XMLSchema-instance	Ju�rez
http://www.w3.org/2001/XMLSchema-instance	Sitapur
http://www.w3.org/2001/XMLSchema-instance	Zama
http://www.w3.org/2001/XMLSchema-instance	Amadora
http://www.w3.org/2001/XMLSchema-instance	al-Mukalla
http://www.w3.org/2001/XMLSchema-instance	Nezahualc�yotl
http://www.w3.org/2001/XMLSchema-instance	Blitar
http://www.w3.org/2001/XMLSchema-instance	Makurdi
http://www.w3.org/2001/XMLSchema-instance	Tlajomulco de Z��iga
http://www.w3.org/2001/XMLSchema-instance	Matanzas
http://www.w3.org/2001/XMLSchema-instance	K�kshetau
http://www.w3.org/2001/XMLSchema-instance	Malaybalay
http://www.w3.org/2001/XMLSchema-instance	Iguala de la Independencia
http://www.w3.org/2001/XMLSchema-instance	Kashihara
http://www.w3.org/2001/XMLSchema-instance	Milagro
http://www.w3.org/2001/XMLSchema-instance	�rebro
http://www.w3.org/2001/XMLSchema-instance	Mocuba
http://www.w3.org/2001/XMLSchema-instance	Piatra Neamt
http://www.w3.org/2001/XMLSchema-instance	Regensburg
http://www.w3.org/2001/XMLSchema-instance	Chuzhou
http://www.w3.org/2001/XMLSchema-instance	Luzi�nia
http://www.w3.org/2001/XMLSchema-instance	Bender (T�ghina)
http://www.w3.org/2001/XMLSchema-instance	Sukabumi
http://www.w3.org/2001/XMLSchema-instance	Cartago
http://www.w3.org/2001/XMLSchema-instance	Paranagu�
http://www.w3.org/2001/XMLSchema-instance	Hobart
http://www.w3.org/2001/XMLSchema-instance	Ilam
http://www.w3.org/2001/XMLSchema-instance	Fujieda
http://www.w3.org/2001/XMLSchema-instance	Omdurman
http://www.w3.org/2001/XMLSchema-instance	San Miguel
http://www.w3.org/2001/XMLSchema-instance	Piedras Negras
